Month,Visits,Visit_Budget,New_Patient_Access_Days,Provider_Utilization_Pct,Template_Utilization_Pct,Call_Answer_Rate_Pct,Patient_Experience_Pct,Ease_of_Scheduling_Pct,Staff_Worked_Together_Pct,Revenue,Revenue_Budget
Jan-2025,3985,4100,5,84,88,84,95,89,96,690000,700000
Feb-2025,4050,4150,5,85,89,82,95,88,96,705000,710000
Mar-2025,4210,4200,6,87,90,80,95,87,96,725000,720000
Apr-2025,4295,4250,7,89,91,78,94,85,96,742000,730000
May-2025,4380,4300,8,91,92,76,94,84,96,755000,740000
Jun-2025,4460,4350,10,93,94,73,94,82,95,768000,750000
Jul-2025,4515,4400,12,95,95,72,94,80,95,775000,760000
Aug-2025,4470,4400,11,96,95,74,94,81,95,782000,760000
Sep-2025,4390,4350,9,94,94,77,95,83,96,770000,755000
Oct-2025,4310,4300,7,91,92,80,95,85,96,758000,750000
Nov-2025,4180,4200,6,88,90,83,96,87,97,735000,730000
Dec-2025,4125,4100,5,86,89,86,96,89,97,720000,715000
